host_destino,porta_destino,protocolo,pacotes_perdidos,%_pacotes_perdidos,bytes_transferidos,bits_por_segundo
100.64.129.150,5201,UDP,0,0,1049600400,8387778092.97
100.64.129.150,5201,UDP,0,0,1239253260,9920047684.87
100.64.129.150,5201,UDP,0,0,1240112268,9920868577.51
100.64.129.150,5201,UDP,0,0,1239083248,9912645895.45
100.64.129.150,5201,UDP,0,0,1356749448,10854027931.52
100.64.129.150,5201,UDP,0,0,1370117760,10960919867.06
100.64.129.150,5201,UDP,0,0,1240926536,9921925345.27
100.64.129.150,5201,UDP,0,0,1239226416,9913791237.13
100.64.129.150,5201,UDP,0,0,1239897516,9924698182.05
100.64.129.150,5201,UDP,0,0,1240828108,9916619119.99
100.64.129.150,5201,UDP,27636,1.985315,12455794960,9963160423.94
